,mission_name,mission_name_en,mission_date,launch_vehicle,payload,image_file,image_source_name,image_source_url,info_source_name,info_source_url,comment
0,天舟二号,Tianzhou 2,20210529,长征七号遥三,天舟二号,"['20210529.jpeg', '202105292.png']","['China航天', '百度百科']","['https://weibo.com/5616492130/KhKKlaGS2', 'https://baike.baidu.com/item/%E5%A4%A9%E8%88%9F%E4%BA%8C%E5%8F%B7/24695456']",['百度百科'],['https://baike.baidu.com/item/%E5%A4%A9%E8%88%9F%E4%BA%8C%E5%8F%B7/24695456'],
1,长二丁一箭四星,LM-2D 4 Satellites,20210611,长征二号丁,北京三号、海丝二号、仰望一号、太空试验1号天健,['20210611.jpg'],['空天部落'],['https://weibo.com/7329022844/KjFafgxTV'],['中国航天报澎湃转载'],['http://www.thepaper.cn/newsDetail_forward_13099110'],
2,试验六号03星,Shiyan 6-03,20210409,长征四号乙,试验六号03星,['20210409.png'],['空天部落'],['https://weibo.com/7329022844/Ka4M8dZId'],['新华网'],['http://www.xinhuanet.com/mil/2021-04/09/c_1211103577.htm'],将背景颜色换成白色，并锐化处理
3,海洋二号D,Haiyang-2D,20210519,长征四号乙,海洋二号D,['20210519.png'],['中国航天科技集团'],['https://weibo.com/5386897742/KgbaYyynt'],['新华网'],['http://www.xinhuanet.com/2021-05/19/c_1127464633.htm'],移除水印并锐化处理
4,遥感三十四号,Yaogan 34,20210430,长征四号丙,遥感三十四号卫星,['20210430.png'],['上海航天公众号'],['https://mp.weixin.qq.com/s/kGAdsqreu8JTfjkDlflr4A'],['上海航天公众号'],['https://mp.weixin.qq.com/s/kGAdsqreu8JTfjkDlflr4A']
5,高分十二号02星,Gaofen 12-02,20210331,长征四号丙,高分十二号02星,['20210331.jpg'],['上海航天公众号'],['https://mp.weixin.qq.com/s/IVpCKBOWUW5WxXsPR7pJhg'],['上海航天公众号'],['https://mp.weixin.qq.com/s/IVpCKBOWUW5WxXsPR7pJhg']
6,吉林一号宽幅01B,Jilin-1 Kuanfu-01B,20210703,长征二号丁,吉林一号宽幅01B星；吉林一号高分03D卫星01、02、03；星时代-10卫星,['20210703.png'],['我们的太空'],['https://t.bilibili.com/543083599383324697?tab=2'],['维基百科'],['https://zh.wikipedia.org/wiki/长征二号丁运载火箭']
7,天舟三号,Tianzhou 3,20210920,长征七号遥四,天舟三号,['20210920.png'],['我们的太空'],['https://t.bilibili.com/572456305195591978?tab=2'],['我们的太空'],['https://t.bilibili.com/572456305195591978?tab=2']
8,多媒体贝塔试验A/B卫星,KL-Beta A/B,20210804,长征六号遥七,多媒体贝塔试验A/B卫星,['20210804.jpg'],['中国航天CASC'],['https://t.bilibili.com/555088982161464358?tab=2'],['长征六号维基百科'],['https://zh.wikipedia.org/wiki/长征六号运载火箭']
9,天绘一号04星,Tianhui-1D,20210729,长征二号丁,天绘一号04星,['20210729.png'],['上海航天公众号'],['https://mp.weixin.qq.com/s/9BVOWzP6onBrilx4v-AYOg'],"['上海航天公众号','长二丁维基百科']","['https://mp.weixin.qq.com/s/9BVOWzP6onBrilx4v-AYOg','https://en.wikipedia.org/wiki/Long_March_2D']"
10,高分五号02星,Gaofen 5-02,20210907,长征四号丙,高分五号02星,['20210907.jpg'],['上海航天B站'],['https://t.bilibili.com/567582135781210074?tab=2'],['上海航天B站'],['https://t.bilibili.com/567582135781210074?tab=2']
11,天绘二号02星,Tianhui 2-02,20210819,长征四号乙,天绘二号02星,['20210819.jpg'],['中国航天CASC B站'],['https://t.bilibili.com/560465594016725015?tab=2'],['中国航天CASC B站'],['https://t.bilibili.com/560465594016725015?tab=2']
12,钟子号卫星星座02星,Zhongzi-02,20210709,长征六号,钟子号卫星星座02星,['20210709.jpg'],['中国航天CASC B站'],['https://t.bilibili.com/545453798559265049?tab=2'],['中国航天CASC B站'],['https://t.bilibili.com/545453798559265049?tab=2']